Title,Price,KM,Fuel Type,Transmission,Location,Seats,Engine,Link
2013 Nissan March 1.2 1.2L Hatchback,88000000.0,97500.0,Pertamax,N/A,Tangerang,5.0,N/A,https://www.mobil123.com/dijual/nissan-march-1-2l-banten-ciputat/14752733
2010 Suzuki APV 1.5 SGX Arena Van,85000000.0,132500.0,Pertamax,N/A,Depok,7.0,N/A,https://www.mobil123.com/dijual/suzuki-apv-sgx-arena-jawa-barat-sawangan/14781198
2011 Suzuki APV 1.5 GX Arena Van,85000000.0,152500.0,Pertamax,N/A,Tangerang,8.0,N/A,https://www.mobil123.com/dijual/suzuki-apv-gx-arena-banten-pamulang/14786487
2013 Nissan Grand Livina 1.5 X-Gear MPV,90000000.0,132500.0,Pertamax,N/A,Bogor,7.0,N/A,https://www.mobil123.com/dijual/nissan-grand-livina-x-gear-jawa-barat-bogor/14784078
2015 Toyota Agya 1.0 G Hatchback,89000000.0,77500.0,Pertamax,N/A,Karawang,5.0,N/A,https://www.mobil123.com/dijual/toyota-agya-g-jawa-barat-ciampel/14875743
2013 Nissan Grand Livina 1.5 X-Gear MPV,90000000.0,132500.0,Pertamax,N/A,Tangerang,7.0,N/A,https://www.mobil123.com/dijual/nissan-grand-livina-x-gear-banten-rempoa/14947165
2009 Toyota Avanza 1.5 S MPV Record Toyota,88000000.0,237500.0,Pertamax,N/A,Tangerang,7.0,N/A,https://www.mobil123.com/dijual/toyota-avanza-s-banten-bsd/14947162
2012 Daihatsu Xenia 1.3 X MPV #HargaMurah,89000000.0,157000.0,Pertamax,N/A,Depok,7.0,N/A,https://www.mobil123.com/dijual/daihatsu-xenia-x-jawa-barat-lenteng-agung/14947008
2015 Toyota Agya 1.0 G Hatchback,90000000.0,102073.0,Pertamax,N/A,Depok,5.0,N/A,https://www.mobil123.com/dijual/toyota-agya-g-jawa-barat-sawangan/14825784
2013 Chevrolet Spin 1.5 LTZ SUV Pajak Hidup Tangan Pertama DP MINIM DEAL,82000000.0,140000.0,Pertamax,N/A,Tangerang,7.0,N/A,https://www.mobil123.com/dijual/chevrolet-spin-ltz-banten-gading-serpong/14946960
"2017 Daihatsu Ayla 1,0 X Hatchback",89000000.0,24880.0,Pertamax,N/A,Jakarta Selatan,5.0,N/A,https://www.mobil123.com/dijual/daihatsu-ayla-x-dki-jakarta-antasari/14946811
2013 Nissan Grand Livina 1.5 X-Gear MPV,90000000.0,132500.0,Pertamax,N/A,Tangerang,7.0,N/A,https://www.mobil123.com/dijual/nissan-grand-livina-x-gear-banten-babakan/14784092
2015 Toyota Agya 1.0 G Hatchback,89000000.0,77500.0,Pertamax,N/A,Karawang,5.0,N/A,https://www.mobil123.com/dijual/toyota-agya-g-jawa-barat-lemahabang/14876814
2016 Datsun GO+ 1.2 T-OPTION MPV manual,85000000.0,72500.0,Pertamax,N/A,Surabaya,7.0,N/A,https://www.mobil123.com/dijual/datsun-go%2B-t-option-jawa-timur-gubeng/14946562
